Serial No.,Name of the Apartment,Coordinates x,coordinates y
501,"Inland Estoria, Balmatta,Falnir Mangaluru",12.862254,74.853565
502,"Inland Ethos, Mahamayee Temple Road, Temple Square, Mangalore.",12.870434,74.835052
503,"Inland Evince Residential Apartments, Kadri",12.882819,74.855607
504,"Inland Evoke (Res), Kankanady, Mangalore.",12.870210,74.861998
505,"Inland Excellency (Res) Arya Samaj Road, Mangalore.",12.876599,74.851819
506,"Inland Galore (Com) Kankanady, Mangalore",12.869871,74.862181
507,"Inland Majestic (Res) Warehouse Road, Mannagudda, Mangaluru",12.881458,74.836310
508,"Inland Monarch (Com)/ (Res), Near C.V. Nayak Hall, Kadri Main Road, Mangalore",12.878115,74.851066
509,"Inland Ornate (Com) Navabharath Circle, Mangalore.",12.874846,74.840766
510,"Inland Pristine (Res) Kulshekar, Mangalore",12.885295,74.883541
511,"Inland Residency Com/Res) Valencia, Mangalore.",12.863495,74.857795
512,"Inland Salute (Res) Konchady 4Th Mile, Mangalore",12.911675,74.850934
513,"Inland Scion Royal Residency, Falnir Main Road,",12.867990,74.850536
514,"Inland Sovereign, Mission Gori Road, Mannugudda",12.874874,74.840690
515,"Inland Windsors, Airport Road, Mary Hill",12.910314,74.867845
516,"Insignia, Valencia Kankanady",12.864056,74.858609
517,"Iris ,Bejai, Mangaluru",12.887728,74.845308
519,Islamic Trust Apt. Attavara Nandigudda Road,12.866769,74.844803
520,"Ivory Towers, S.L. Mathias Road",12.862883,74.847895
522,"J.V West Point, Abba Hithlu Garden Road",12.885483,74.827699
523,"Jade Apartments, Vaslane, Mangaluru",12.869212,74.854410
524,Janvi Plaza,12.876516,74.847319
526,"Jaya Building, Maidan 4Th Cross Road",12.865459,74.836337
527,"Jaya Nagara Apt, Kadri Nanthoor, Mangaluru",12.885884,74.862125
529,"Jeswin Apartment. Bejai New Rd, Mangaluru",12.888810,74.846645
530,"Jnaneshwari Apartment, Vithoba Temple Road",12.872564,74.839319
533,"Jv Serene, Ambikanagar, Kavoor, Mangaluru",12.925186,74.846317
534,"K2 Aqua, Kudroli",12.866663,74.856067
535,"K2 Habitat, Pandeshwar, Mangaluru",12.855079,74.840388
536,"K2 Senna, Kankanady Bypass Road (Now)",12.866667,74.856069
540,"Kadri Mansion, Alvares Road",12.881438,74.856874
546,"Kambla Heights, Kadri Kambla Rd",12.882648,74.850058
549,"Karunadham ,K.S. Rao Rd, Mangaluru",12.869641,74.842169
551,"Kavitha Apt, Lobo Lane Cross Road",12.878601,74.854603
555,Keshav Apt,12.884643,74.837425
558,"Kings Court, Attavara Jain Compound Road",12.862193,74.850349
561,"Kk Towers, Attavara, Hampankatta",12.860616,74.848343
565,"Kottemane House, Bibi Alabi Road",12.865750,74.837584
569,"Kumars River View, Sulthan Battery Cross Road",12.873485,74.855787
